Order_Hour,Day_of_Week,Is_Weekend,Is_Festival,Weather,Pickup_Zone,Dropoff_Zone,Vehicle_Type,Rider_Experience_Years,Rider_Rating,Restaurant_Rating,Cuisine_Type,Order_Items,Restaurant_Load,Preparation_Time_Min,Road_Distance_km,Delivery_Distance_Category,Traffic_Level,Number_of_Signals,Average_Speed_kmph,Delivery_Priority,Time_taken_min
21,Thursday,0,0,Clear,Commercial,Suburban,Bike,1.1,3.5,4.2,South Indian,2,High,24,29.12,Long,Low,10,42.5,Normal,67
10,Tuesday,0,0,Storm,Industrial,Industrial,Bike,9.7,4.3,3.5,Pizza,2,Medium,25,32.28,Long,Moderate,6,25.7,Normal,108
7,Saturday,1,0,Rain,Suburban,Residential,Bike,8.0,4.3,3.8,Burger,1,High,17,33.55,Long,Moderate,5,30.5,Normal,82
12,Saturday,1,0,Clear,Commercial,Commercial,Electric Scooter,2.8,4.2,4.0,Desserts,2,High,12,28.61,Long,Low,11,30.8,Normal,78
12,Saturday,1,0,Cloudy,Residential,Suburban,Bike,4.4,4.1,4.3,North Indian,2,Low,24,33.36,Long,Low,9,42.5,Priority,72
9,Wednesday,0,0,Clear,CBD,Suburban,Electric Scooter,9.5,4.5,4.5,Chinese,6,High,33,15.17,Long,Moderate,16,26.9,Normal,78
11,Tuesday,0,0,Cloudy,Residential,CBD,Electric Scooter,2.3,4.1,4.7,Cafe,3,Low,11,26.51,Long,Low,9,29.8,Normal,67
14,Tuesday,0,0,Cloudy,CBD,Residential,Bike,8.9,4.4,5.0,Biryani,6,Low,36,16.45,Long,Low,18,44.4,Normal,68
12,Tuesday,0,0,Clear,Suburban,CBD,Bike,2.5,3.8,4.2,Cafe,2,Medium,11,47.61,Long,Low,4,43.0,Priority,75
8,Saturday,1,0,Clear,CBD,Residential,Electric Scooter,4.4,4.0,4.9,South Indian,2,Low,20,34.76,Long,High,16,20.4,Normal,127
21,Tuesday,0,0,Clear,Commercial,Residential,Scooter,2.7,3.7,4.7,Pizza,6,Medium,34,26.19,Long,Low,12,34.9,Normal,82
7,Monday,0,1,Clear,Industrial,Residential,Electric Scooter,1.3,3.6,3.4,Biryani,1,Low,28,30.01,Long,Low,7,30.4,Normal,95
12,Tuesday,0,0,Clear,Residential,Industrial,Bike,1.6,4.0,3.8,Cafe,4,Medium,17,36.23,Long,Low,9,42.7,Normal,65
16,Monday,0,0,Rain,CBD,CBD,Bike,1.3,3.7,4.1,North Indian,4,Medium,34,14.14,Long,Moderate,16,28.6,Priority,74
11,Thursday,0,0,Fog,Suburban,Residential,Bike,6.3,4.5,4.2,Bakery,6,Low,16,40.94,Long,Low,6,39.3,Priority,80
18,Tuesday,0,0,Clear,Suburban,Commercial,Bicycle,3.8,3.7,4.2,Pizza,1,Medium,24,24.91,Long,Low,3,16.6,Normal,114
5,Sunday,1,0,Clear,Suburban,CBD,Bike,2.2,3.8,4.2,Pizza,5,High,34,14.22,Long,Low,5,42.9,Normal,59
11,Monday,0,0,Rain,CBD,Residential,Bike,2.3,3.6,4.3,Pizza,7,Medium,33,7.76,Long,Moderate,14,28.9,Normal,61
22,Sunday,1,0,Clear,Commercial,Residential,Bike,11.3,4.2,3.4,Burger,2,Medium,15,44.29,Long,Low,10,46.7,Priority,79
17,Friday,0,0,Clear,Residential,CBD,Electric Scooter,9.2,4.4,4.0,Cafe,2,Low,9,19.91,Long,Low,10,32.8,Normal,51
9,Sunday,1,0,Clear,Suburban,Industrial,Bike,2.1,3.7,4.3,Chinese,2,Low,20,36.46,Long,Moderate,4,35.2,Normal,83
10,Wednesday,0,0,Cloudy,Suburban,CBD,Electric Scooter,6.0,3.9,3.8,Burger,2,High,21,25.54,Long,Low,4,30.8,Normal,77
20,Thursday,0,0,Clear,CBD,CBD,Scooter,3.8,4.0,3.9,Desserts,3,Medium,13,21.95,Long,Moderate,18,28.9,Normal,67
19,Tuesday,0,0,Clear,Industrial,Industrial,Scooter,3.2,3.9,4.3,Burger,3,High,21,14.07,Long,Low,5,35.1,Normal,52
19,Thursday,0,0,Rain,Suburban,CBD,Bike,2.6,4.1,4.3,Chinese,3,Low,21,53.83,Long,Moderate,5,29.0,Normal,134
20,Sunday,1,0,Clear,Suburban,Residential,Bike,3.6,4.1,3.6,South Indian,1,High,22,31.37,Long,Moderate,6,35.7,Priority,75
6,Tuesday,0,0,Fog,Commercial,Suburban,Bike,4.7,3.6,4.3,North Indian,1,Low,25,51.17,Long,Low,10,38.7,Normal,105
14,Thursday,0,0,Clear,CBD,Residential,Bike,5.5,4.3,4.3,Pizza,1,Medium,19,10.26,Long,Low,18,44.3,Priority,39
19,Thursday,0,0,Clear,Residential,Residential,Bicycle,3.9,3.7,4.3,North Indian,4,High,38,38.74,Long,Low,7,16.6,Normal,180
11,Tuesday,0,0,Cloudy,Commercial,CBD,Scooter,2.8,3.8,3.9,Chinese,4,Medium,30,37.96,Long,Low,13,33.9,Normal,105
23,Monday,0,0,Clear,Residential,Suburban,Bike,4.6,4.1,4.4,Bakery,3,Low,13,30.47,Long,Low,9,43.9,Normal,59
20,Monday,0,0,Rain,Suburban,Commercial,Electric Scooter,0.7,3.7,4.6,Pizza,3,Low,24,36.9,Long,Moderate,6,20.3,Normal,134
13,Friday,0,0,Cloudy,Commercial,Commercial,Bicycle,5.2,3.9,4.5,Pizza,4,Medium,29,25.16,Long,Low,12,16.3,Normal,130
23,Friday,0,0,Clear,Residential,CBD,Electric Scooter,12.6,4.5,4.7,Cafe,3,Low,11,31.86,Long,Low,6,33.8,Normal,68
19,Wednesday,0,0,Clear,Residential,Suburban,Bike,2.2,3.8,4.3,Burger,3,High,21,9.46,Long,Low,10,42.9,Priority,44
11,Tuesday,0,0,Cloudy,Residential,Industrial,Bike,4.7,3.6,3.7,Bakery,2,High,15,58.99,Long,Low,6,42.7,Normal,100
15,Tuesday,0,0,Fog,Industrial,Suburban,Electric Scooter,4.2,3.8,4.1,Burger,5,Medium,20,29.86,Long,Low,8,27.5,Normal,85
20,Saturday,1,0,Rain,CBD,Suburban,Bicycle,3.6,4.2,4.3,Chinese,3,Low,20,11.95,Long,Severe,14,8.0,Normal,120
23,Friday,0,0,Clear,Suburban,Commercial,Bike,10.3,4.6,4.0,Burger,2,High,19,26.89,Long,Low,4,46.3,Normal,58
8,Saturday,1,0,Cloudy,Industrial,Industrial,Bicycle,3.0,4.1,3.5,Pizza,5,Medium,33,9.33,Long,Moderate,8,13.1,Normal,80
17,Monday,0,0,Rain,Industrial,Commercial,Bike,3.9,3.9,3.8,Burger,1,Medium,11,27.9,Long,Low,8,35.8,Normal,64
19,Saturday,1,0,Cloudy,CBD,Residential,Bike,3.1,4.0,3.8,Burger,2,Medium,13,26.62,Long,High,15,27.3,Priority,76
18,Sunday,1,0,Clear,Industrial,Commercial,Bike,2.0,3.9,4.0,Cafe,2,Medium,14,14.05,Long,Moderate,4,35.1,Normal,38
19,Sunday,1,0,Clear,Industrial,Suburban,Electric Scooter,7.1,4.1,4.4,Desserts,6,Medium,21,70.42,Long,Moderate,5,26.3,Normal,180
18,Wednesday,0,0,Storm,Suburban,Commercial,Bike,9.7,4.1,4.6,Pizza,2,Low,20,16.71,Long,Moderate,2,25.7,Normal,62
17,Friday,0,1,Rain,Residential,Industrial,Scooter,3.0,3.9,4.3,Bakery,3,Medium,14,18.33,Long,Moderate,10,23.5,Priority,72
20,Monday,0,0,Rain,CBD,CBD,Bicycle,1.8,3.8,3.8,North Indian,3,Medium,30,38.62,Long,High,16,8.7,Normal,180
13,Friday,0,0,Storm,CBD,Commercial,Bike,6.1,4.2,4.3,Pizza,1,Low,21,25.06,Long,Moderate,15,24.8,Normal,96
15,Sunday,1,0,Cloudy,CBD,Suburban,Bike,3.6,3.5,4.3,Pizza,2,Medium,24,20.36,Long,Moderate,14,34.6,Priority,61
15,Monday,0,0,Rain,Residential,Residential,Bike,6.1,4.2,4.1,Burger,5,Medium,21,28.9,Long,Low,10,36.5,Priority,80
14,Tuesday,0,0,Rain,Residential,Commercial,Bike,6.7,4.3,4.7,Pizza,1,Medium,23,15.31,Long,Low,7,36.7,Priority,56
9,Thursday,0,0,Clear,Commercial,Residential,Electric Scooter,1.7,4.0,3.8,North Indian,3,Medium,28,21.82,Long,Low,10,30.5,Normal,74
14,Wednesday,0,0,Clear,CBD,Residential,Bike,1.9,3.5,3.8,Cafe,1,Low,6,40.58,Long,Low,16,42.8,VIP,72
13,Thursday,0,0,Clear,CBD,CBD,Electric Scooter,4.3,4.1,4.7,Burger,2,High,17,33.55,Long,Low,16,31.3,Normal,89
9,Friday,0,0,Cloudy,CBD,Suburban,Bike,4.1,4.0,4.5,Chinese,1,High,26,19.64,Long,Moderate,18,34.8,Normal,66
2,Monday,0,0,Cloudy,Residential,CBD,Bicycle,1.3,3.8,4.0,Cafe,4,Low,13,33.05,Long,Low,8,15.7,Normal,149
20,Thursday,0,0,Clear,Suburban,Commercial,Electric Scooter,4.4,4.0,4.2,North Indian,2,Low,26,9.35,Long,Low,2,31.3,Normal,46
9,Wednesday,0,0,Cloudy,Industrial,Suburban,Bicycle,1.7,3.8,4.1,Burger,2,Medium,18,35.17,Long,Low,4,15.8,Normal,151
13,Wednesday,0,0,Cloudy,Industrial,Residential,Scooter,7.7,4.0,4.5,Pizza,1,High,29,25.63,Long,Low,6,35.5,Normal,76
15,Tuesday,0,0,Cloudy,Residential,Residential,Bike,4.0,3.7,4.3,Biryani,6,Medium,40,17.04,Long,Low,10,42.4,Normal,66
8,Monday,0,0,Cloudy,Industrial,Residential,Electric Scooter,3.0,3.9,4.1,Burger,5,High,26,33.76,Long,Low,5,30.0,Normal,98
13,Thursday,0,0,Fog,CBD,Residential,Scooter,1.6,3.8,4.3,North Indian,6,Low,32,25.18,Long,Low,14,30.4,Normal,84
7,Saturday,1,0,Clear,Industrial,Industrial,Scooter,3.2,4.0,4.8,Chinese,1,Medium,22,57.41,Long,Low,7,35.1,Normal,125
1,Thursday,0,0,Clear,CBD,Residential,Bike,1.2,3.8,4.2,North Indian,4,Medium,29,33.44,Long,Low,15,42.5,Priority,79
11,Friday,0,0,Rain,Residential,Industrial,Bike,8.1,4.0,4.2,North Indian,1,Medium,30,4.04,Medium,Low,9,37.2,Normal,43
20,Saturday,1,0,Clear,Industrial,CBD,Bike,8.1,4.6,4.3,Burger,1,Low,7,23.45,Long,Moderate,4,37.2,Normal,45
6,Sunday,1,0,Cloudy,CBD,Residential,Scooter,4.2,3.9,4.7,Burger,3,High,22,41.35,Long,Moderate,15,28.2,Normal,111
19,Thursday,0,0,Rain,CBD,Suburban,Electric Scooter,3.1,3.9,4.2,Chinese,4,High,26,45.93,Long,High,16,16.5,VIP,180
8,Monday,0,1,Cloudy,Commercial,Suburban,Bike,3.1,3.9,4.3,Biryani,3,Medium,36,7.41,Long,Moderate,11,34.4,Priority,61
21,Sunday,1,0,Rain,CBD,Residential,Scooter,3.1,4.0,4.1,North Indian,6,High,42,24.53,Long,Severe,14,13.8,Normal,153
13,Saturday,1,0,Cloudy,Residential,Residential,Scooter,2.0,3.7,4.2,South Indian,2,Low,24,36.52,Long,Low,6,33.6,Priority,91
16,Sunday,1,0,Clear,Residential,Suburban,Bike,7.8,4.2,3.8,Chinese,1,Low,20,35.9,Long,Low,10,45.3,Normal,73
14,Monday,0,0,Clear,Residential,Commercial,Bike,5.9,4.1,3.8,Cafe,3,High,18,21.53,Long,Low,7,44.5,Normal,45
12,Saturday,1,0,Cloudy,Residential,Residential,Bike,7.1,4.3,4.0,Cafe,2,Low,10,18.58,Long,Low,10,43.6,Normal,38
20,Tuesday,0,0,Cloudy,CBD,Suburban,Scooter,6.3,4.0,4.3,Pizza,6,Medium,34,6.23,Medium,Moderate,14,28.7,Normal,53
21,Thursday,0,0,Clear,Industrial,Commercial,Scooter,4.5,4.0,4.4,Burger,3,Low,18,48.32,Long,Low,5,35.5,Normal,102
15,Saturday,1,0,Fog,Commercial,Industrial,Bike,0.8,3.4,3.8,Biryani,2,Low,31,43.53,Long,Low,14,37.3,VIP,106
19,Sunday,1,0,Cloudy,Industrial,Suburban,Scooter,3.2,4.0,4.1,South Indian,5,Low,24,19.91,Long,Moderate,4,27.9,Normal,64
16,Sunday,1,0,Cloudy,Industrial,Industrial,Bike,3.9,3.8,4.3,South Indian,3,Low,23,6.9,Medium,Low,8,42.3,Normal,39
19,Thursday,0,0,Clear,Residential,CBD,Scooter,2.2,3.2,4.0,Cafe,3,High,18,39.0,Long,Low,10,34.7,Normal,89
6,Saturday,1,0,Clear,Industrial,Residential,Scooter,4.6,3.8,4.4,Burger,3,Low,13,52.39,Long,Low,8,35.6,Normal,109
19,Sunday,1,0,Storm,Commercial,Suburban,Bike,7.9,4.1,4.6,Cafe,2,High,16,46.67,Long,High,13,20.0,Normal,168
21,Saturday,1,0,Rain,Residential,Commercial,Bike,6.3,4.1,3.9,South Indian,4,Low,25,8.29,Long,High,8,23.8,Priority,52
12,Tuesday,0,0,Clear,Residential,Suburban,Scooter,0.9,3.7,3.9,Burger,3,Medium,20,21.87,Long,Low,10,34.3,Normal,63
17,Thursday,0,0,Cloudy,Residential,Residential,Bike,4.7,4.0,3.9,Cafe,3,High,18,32.35,Long,Low,6,42.7,Normal,70
12,Monday,0,0,Rain,CBD,Residential,Bike,10.2,4.4,3.7,Pizza,2,Low,23,16.82,Long,Moderate,16,31.1,VIP,67
16,Monday,0,0,Rain,Suburban,Suburban,Bike,3.6,3.5,4.2,Bakery,5,Low,15,25.15,Long,Low,4,35.7,Priority,62
15,Thursday,0,0,Clear,Suburban,Residential,Electric Scooter,4.3,3.7,4.2,North Indian,4,Medium,34,18.49,Long,Low,3,31.3,Normal,74
11,Monday,0,0,Storm,CBD,Suburban,Bike,1.1,3.5,4.2,North Indian,2,High,31,29.63,Long,Moderate,14,23.7,Normal,117
18,Saturday,1,1,Clear,Commercial,CBD,Bike,3.8,3.9,4.1,Desserts,2,Medium,11,9.87,Long,High,12,28.3,Normal,40
9,Wednesday,0,0,Rain,Commercial,Commercial,Bike,4.6,3.8,4.3,Bakery,1,Low,7,14.53,Long,Moderate,12,29.5,Normal,48
18,Monday,0,0,Clear,Suburban,Commercial,Scooter,4.2,4.0,4.5,Chinese,6,Medium,35,9.75,Long,Low,3,35.4,Normal,52
20,Thursday,0,0,Rain,Industrial,CBD,Scooter,9.7,4.1,4.5,Bakery,5,High,18,29.44,Long,Moderate,7,25.1,VIP,94
11,Friday,0,0,Clear,Industrial,Residential,Electric Scooter,15.0,4.7,3.8,South Indian,2,Medium,20,27.76,Long,Low,6,34.5,VIP,74
23,Thursday,0,0,Fog,Suburban,Residential,Bike,3.3,4.0,4.1,Burger,2,High,21,16.95,Long,Low,5,38.2,Normal,47
14,Wednesday,0,0,Clear,CBD,CBD,Scooter,3.8,4.0,3.8,South Indian,1,Low,14,27.58,Long,Low,16,35.3,Normal,70
11,Sunday,1,0,Cloudy,Suburban,Commercial,Bike,4.7,3.8,4.6,North Indian,3,Low,28,39.59,Long,Low,6,42.7,Normal,86
20,Sunday,1,0,Cloudy,Commercial,Suburban,Bike,2.2,3.8,4.1,Cafe,3,High,17,27.86,Long,Moderate,10,34.1,Normal,71
16,Monday,0,1,Clear,Industrial,CBD,Scooter,5.0,4.1,3.5,Desserts,1,Low,7,12.53,Long,Low,7,35.7,Priority,30
12,Wednesday,0,0,Cloudy,Commercial,CBD,Scooter,0.9,3.9,4.1,Desserts,4,Medium,12,25.52,Long,Low,13,33.3,Normal,67
19,Saturday,1,0,Clear,Commercial,CBD,Scooter,2.2,3.7,4.2,Cafe,2,Medium,13,21.51,Long,Moderate,14,28.5,Normal,63
19,Sunday,1,0,Cloudy,Residential,Commercial,Electric Scooter,2.2,3.7,3.9,Pizza,1,High,24,12.61,Long,Moderate,7,24.4,Normal,57
9,Saturday,1,0,Fog,Residential,Commercial,Bike,6.1,4.2,4.3,Bakery,6,Medium,19,20.52,Long,Moderate,8,32.2,Normal,67
5,Saturday,1,0,Clear,Residential,CBD,Scooter,2.9,3.7,4.3,Chinese,2,Low,20,38.73,Long,Low,6,35.0,Priority,91
16,Wednesday,0,0,Clear,Residential,CBD,Bike,3.7,3.9,4.0,Biryani,1,Medium,32,5.03,Medium,Low,8,43.6,Normal,44
17,Thursday,0,0,Rain,Commercial,Residential,Bike,2.2,3.6,4.5,Cafe,1,High,14,30.13,Long,Low,11,35.2,Normal,70
22,Monday,0,0,Clear,Residential,Residential,Bike,7.4,4.0,3.6,Cafe,7,Medium,26,23.1,Long,Low,6,45.1,Priority,54
17,Saturday,1,0,Clear,Commercial,Commercial,Bike,2.3,3.8,4.4,Biryani,1,High,35,20.36,Long,Low,13,43.0,Priority,71
13,Sunday,1,0,Clear,Commercial,Residential,Electric Scooter,4.6,3.9,4.8,Chinese,3,Medium,27,10.87,Long,Low,10,31.4,Normal,55
6,Sunday,1,0,Cloudy,Commercial,Residential,Bike,3.2,4.0,3.8,Cafe,3,High,19,42.47,Long,Low,13,42.0,Normal,82
11,Tuesday,0,0,Cloudy,Commercial,Suburban,Electric Scooter,1.5,3.6,4.2,South Indian,6,High,32,40.38,Long,Low,14,29.5,Normal,120
19,Saturday,1,0,Clear,Residential,Residential,Bike,5.9,4.1,4.6,Biryani,2,Medium,32,37.44,Long,Moderate,10,36.5,Priority,98
13,Sunday,1,0,Clear,CBD,CBD,Bike,2.7,3.8,4.0,Biryani,5,High,46,1.29,Short,Moderate,18,35.4,Normal,58
20,Thursday,0,0,Cloudy,CBD,Suburban,Bicycle,2.0,3.6,4.7,North Indian,1,Low,23,7.95,Long,Moderate,15,13.0,Normal,62
6,Saturday,1,0,Clear,Suburban,Commercial,Electric Scooter,4.6,3.9,5.0,Biryani,6,Medium,38,25.34,Long,Low,2,31.4,Normal,89
10,Sunday,1,1,Clear,Industrial,Suburban,Bike,3.8,3.8,4.1,Burger,3,High,22,4.19,Medium,High,8,28.3,Normal,40
19,Friday,0,0,Rain,Residential,Residential,Scooter,1.4,3.5,4.6,Biryani,2,Medium,34,27.86,Long,Moderate,8,23.2,Priority,115
20,Thursday,0,0,Clear,Commercial,Residential,Scooter,3.0,3.3,4.5,Cafe,1,High,12,30.24,Long,Low,12,35.0,VIP,65
11,Monday,0,0,Storm,Industrial,CBD,Bike,5.4,4.2,4.1,Bakery,5,Medium,15,29.73,Long,Low,6,30.1,Normal,82
10,Thursday,0,0,Fog,Residential,CBD,Electric Scooter,4.2,4.1,3.9,Burger,1,Medium,16,28.84,Long,Low,10,27.5,Normal,90
20,Monday,0,0,Clear,Suburban,Commercial,Bike,9.7,4.1,4.2,North Indian,1,Low,27,31.11,Long,Low,5,46.1,Priority,73
2,Friday,0,0,Cloudy,Residential,CBD,Bike,1.7,3.8,4.3,North Indian,4,Low,32,16.52,Long,Low,6,41.4,Normal,61
20,Sunday,1,0,Clear,Commercial,Suburban,Bike,2.8,3.8,4.5,Cafe,5,High,24,36.48,Long,Moderate,14,35.4,Priority,91
19,Friday,0,0,Clear,Industrial,Commercial,Bike,9.2,4.3,4.3,Burger,2,Low,10,19.27,Long,Low,5,45.9,Normal,38
13,Saturday,1,0,Clear,CBD,Commercial,Scooter,5.3,3.9,4.7,Burger,4,High,23,22.99,Long,Moderate,18,29.4,Normal,78
17,Wednesday,0,0,Cloudy,Residential,Commercial,Electric Scooter,9.2,4.4,4.4,Bakery,1,High,11,20.32,Long,Low,7,31.8,Normal,49
23,Tuesday,0,0,Clear,CBD,CBD,Electric Scooter,1.9,3.6,3.9,North Indian,3,Low,28,28.58,Long,Low,14,30.6,VIP,92
17,Sunday,1,0,Cloudy,Industrial,Commercial,Electric Scooter,7.2,4.0,4.1,South Indian,1,Low,18,23.75,Long,Low,7,31.2,Priority,69
11,Monday,0,0,Clear,Residential,CBD,Bicycle,1.3,3.8,4.0,South Indian,3,Medium,24,27.45,Long,Low,9,16.2,Normal,132
12,Tuesday,0,0,Rain,CBD,CBD,Bike,7.4,4.2,4.0,North Indian,5,High,40,26.71,Long,Moderate,18,30.3,Normal,104
18,Tuesday,0,0,Clear,Suburban,CBD,Bicycle,2.5,4.0,4.2,North Indian,1,High,30,18.2,Long,Low,4,16.4,Normal,99
18,Tuesday,0,0,Fog,CBD,CBD,Bike,11.0,4.8,4.3,Pizza,3,Medium,27,17.58,Long,Moderate,17,33.6,Normal,67
23,Monday,0,0,Clear,Residential,CBD,Scooter,1.6,3.6,4.5,Chinese,1,Medium,23,31.32,Long,Low,7,34.5,VIP,78
18,Friday,0,0,Rain,CBD,Suburban,Bike,0.7,3.5,4.3,Chinese,3,Low,21,39.2,Long,High,17,22.5,Priority,135
19,Tuesday,0,0,Cloudy,Residential,Suburban,Bike,2.2,3.8,3.8,Bakery,2,Low,10,14.49,Long,Low,9,41.6,Normal,36
13,Saturday,1,0,Cloudy,CBD,CBD,Bike,0.9,3.7,4.3,Pizza,1,Medium,23,37.09,Long,Moderate,17,33.7,Normal,98
10,Tuesday,0,0,Fog,Suburban,Residential,Bike,1.2,3.5,4.4,South Indian,2,Low,15,20.25,Long,Low,3,37.4,Priority,50
22,Tuesday,0,0,Clear,CBD,Suburban,Bike,12.1,4.5,4.9,South Indian,1,Low,18,41.56,Long,Low,16,47.1,Priority,79
6,Monday,0,1,Clear,CBD,Suburban,Electric Scooter,7.2,4.0,3.9,Biryani,1,High,34,33.77,Long,Moderate,18,26.4,Normal,121
8,Thursday,0,0,Cloudy,Industrial,Residential,Bike,2.0,3.4,4.3,Burger,1,Low,12,45.45,Long,Low,6,41.6,Normal,87
19,Monday,0,0,Clear,Industrial,Residential,Bike,3.6,3.9,4.3,Biryani,4,Low,34,35.72,Long,Low,4,43.5,Normal,91
5,Monday,0,0,Cloudy,Commercial,Suburban,Bicycle,5.4,4.0,3.6,Burger,3,Medium,17,10.45,Long,Low,11,16.4,Normal,60
12,Thursday,0,0,Rain,CBD,Industrial,Scooter,0.9,3.7,4.2,Biryani,4,Low,36,17.66,Long,Moderate,18,23.1,Normal,91
23,Monday,0,0,Rain,Residential,Commercial,Scooter,5.0,4.1,4.6,Chinese,3,Low,22,25.86,Long,Low,7,29.3,Normal,83
23,Sunday,1,0,Cloudy,Commercial,Suburban,Bicycle,4.3,3.8,3.7,Pizza,5,Low,29,17.59,Long,Low,11,16.2,Normal,102
19,Tuesday,0,0,Clear,CBD,Suburban,Electric Scooter,2.0,3.7,4.3,Pizza,4,Medium,27,31.85,Long,Moderate,18,25.1,Normal,107
19,Sunday,1,0,Rain,Commercial,Residential,Bike,7.4,4.1,4.2,Burger,1,Low,11,34.27,Long,High,13,24.0,Normal,100
20,Friday,0,0,Clear,Residential,Residential,Bicycle,12.4,4.3,3.9,North Indian,3,High,36,19.14,Long,Low,8,18.0,Normal,102
19,Thursday,0,0,Rain,CBD,Residential,Bike,15.0,4.7,4.1,North Indian,1,Medium,26,13.94,Long,High,15,25.7,VIP,62
7,Tuesday,0,0,Clear,CBD,Residential,Bike,1.9,3.8,3.8,South Indian,2,Medium,18,21.91,Long,Low,15,42.8,Normal,59
5,Monday,0,1,Rain,Industrial,Residential,Bike,4.3,3.7,4.0,North Indian,1,Medium,26,14.65,Long,Moderate,4,29.5,Normal,65
18,Monday,0,0,Storm,Residential,Residential,Bike,2.5,3.6,4.0,Cafe,1,High,13,19.93,Long,Moderate,8,24.0,Priority,73
20,Tuesday,0,1,Clear,Industrial,Industrial,Electric Scooter,6.4,4.2,4.3,Burger,1,Low,13,12.89,Long,Moderate,4,26.2,Normal,50
16,Tuesday,0,0,Clear,Industrial,Residential,Scooter,3.0,4.1,3.6,Biryani,1,High,36,37.66,Long,Low,6,35.0,Normal,106
15,Monday,0,0,Clear,Industrial,Residential,Bike,5.7,4.1,4.1,Burger,4,High,20,12.2,Long,Low,4,44.4,Normal,41
18,Thursday,0,0,Clear,CBD,Residential,Bike,5.5,4.2,4.5,Chinese,3,High,28,37.8,Long,Moderate,15,36.3,Normal,98
18,Monday,0,0,Clear,Commercial,Residential,Bicycle,14.0,4.6,3.4,Desserts,2,Low,8,25.48,Long,Low,10,18.2,Normal,101
13,Saturday,1,0,Clear,Suburban,Residential,Scooter,3.9,4.0,4.2,Pizza,6,High,33,17.91,Long,Low,3,35.3,Normal,66
14,Friday,0,0,Cloudy,Industrial,CBD,Bike,4.1,3.5,4.4,Desserts,1,Medium,8,23.01,Long,Low,8,42.4,VIP,49
22,Monday,0,0,Rain,CBD,Residential,Bike,2.3,3.6,4.3,Biryani,7,Low,40,32.53,Long,Moderate,16,28.9,Normal,116
13,Friday,0,0,Fog,Residential,CBD,Scooter,7.8,4.6,4.4,Chinese,4,Low,25,7.52,Long,Low,7,32.3,Priority,41
1,Monday,0,0,Clear,Commercial,Suburban,Bike,1.6,3.8,3.7,Desserts,5,High,20,11.28,Long,Low,12,42.7,Normal,32
10,Wednesday,0,0,Rain,Industrial,Residential,Scooter,1.1,3.6,3.8,Chinese,1,Medium,22,45.1,Long,Moderate,6,23.1,Normal,144
12,Thursday,0,0,Clear,Residential,Commercial,Scooter,2.2,3.7,4.4,North Indian,1,Medium,25,11.17,Long,Low,7,34.7,Normal,43
13,Sunday,1,0,Cloudy,CBD,CBD,Scooter,3.5,3.6,4.2,Chinese,5,High,30,37.97,Long,Moderate,18,28.0,VIP,116
1,Tuesday,0,0,Clear,Residential,Industrial,Electric Scooter,4.6,3.8,4.7,Pizza,1,Medium,23,16.3,Long,Low,6,31.4,Normal,55
14,Thursday,0,0,Clear,CBD,Residential,Bike,0.6,3.5,3.8,Pizza,5,Medium,30,44.74,Long,Low,18,42.3,Normal,101
11,Sunday,1,0,Clear,Residential,Residential,Bike,2.0,4.0,3.5,Chinese,2,Medium,19,37.45,Long,Low,8,42.8,Normal,71
1,Saturday,1,0,Clear,Industrial,Commercial,Bike,4.8,3.9,4.1,Burger,5,High,27,38.8,Long,Low,4,44.0,Normal,81
15,Thursday,0,0,Clear,Industrial,Industrial,Bike,7.9,4.6,4.8,Chinese,1,Medium,22,34.73,Long,Low,5,45.3,Normal,67
9,Thursday,0,0,Clear,Industrial,Commercial,Bike,3.9,3.9,4.4,North Indian,2,Low,27,23.98,Long,Low,8,43.6,Priority,64
18,Saturday,1,0,Fog,Residential,Residential,Bike,4.6,4.2,3.6,Cafe,4,Medium,15,33.02,Long,Moderate,10,31.7,Normal,86
18,Thursday,0,0,Clear,CBD,Industrial,Bike,10.3,4.6,3.6,North Indian,3,Medium,33,44.5,Long,Moderate,14,38.0,Normal,107
13,Thursday,0,0,Clear,Residential,Industrial,Scooter,1.8,3.6,4.4,South Indian,1,High,19,33.47,Long,Low,7,34.6,Normal,80
18,Thursday,0,0,Clear,CBD,Residential,Scooter,1.6,3.6,3.7,Pizza,6,Low,27,37.68,Long,Moderate,14,28.3,Normal,109
13,Tuesday,0,0,Clear,Residential,Suburban,Electric Scooter,4.7,4.0,4.3,North Indian,4,Low,31,24.82,Long,Low,6,31.4,Priority,79
15,Thursday,0,0,Cloudy,Industrial,Commercial,Bike,0.4,3.6,4.0,Cafe,2,Medium,12,15.46,Long,Low,8,40.9,Priority,41
6,Thursday,0,0,Storm,Industrial,Residential,Bike,1.6,3.8,3.8,Chinese,5,High,30,29.49,Long,Low,4,29.0,Normal,99
14,Saturday,1,0,Cloudy,Commercial,Suburban,Electric Scooter,3.5,4.1,4.3,North Indian,1,Low,25,21.62,Long,Low,14,30.1,Normal,74
12,Thursday,0,0,Storm,Residential,Industrial,Bike,3.0,4.0,4.3,North Indian,2,High,30,39.94,Long,Low,9,29.4,Priority,119
11,Friday,0,0,Rain,Residential,Residential,Scooter,5.8,4.1,4.7,Desserts,1,Low,7,40.1,Long,Low,9,29.5,Normal,97
